0;13;0.9;3.253750;+;30;54;56;30.915556;NGC43;NGC 43;;;;
0;13;13.4;3.305833;+;31;17;12;31.286667;NGC44;NGC 44;;;;
0;14;4.0;3.516667;-;23;10;53;-23.181389;NGC45;NGC 45;;;;
0;14;10.0;3.541667;+;5;59;14;5.987222;NGC46;NGC 46;;;;
0;14;30.5;3.627083;-;7;10;4;-7.167778;NGC47;NGC 47;;;;
0;14;2.1;3.508750;+;48;14;6;48.235000;NGC48;NGC 48;;;;
0;14;22.4;3.593333;+;48;14;50;48.247222;NGC49;NGC 49;;;;
0;14;44.6;3.685833;-;7;20;42;-7.345000;NGC50;NGC 50;;;;
0;14;34.8;3.645000;+;48;15;22;48.256111;NGC51;NGC 51;;;;
0;14;40.0;3.666667;+;18;34;54;18.581667;NGC52;NGC 52;;;;
0;14;43.0;3.679167;-;60;19;43;-60.328611;NGC53;NGC 53;;;;
0;15;7.6;3.781667;-;7;6;24;-7.106667;NGC54;NGC 54;;;;
0;15;8.0;3.783333;-;39;13;10;-39.219444;NGC55;NGC 55;;;;
0;15;20.6;3.835833;+;12;26;40;12.444444;NGC56;NGC 56;;;;
0;15;30.9;3.878750;+;17;19;45;17.329167;NGC57;NGC 57;;;;
0;14;30.5;3.627083;-;7;10;4;-7.167778;NGC58;NGC 58;;;;
0;15;25.3;3.855417;-;21;26;41;-21.444722;NGC59;NGC 59;;;;
0;15;58.2;3.992500;-;0;18;13;-0.303611;NGC60;NGC 60;;;;
0;16;24.0;4.100000;-;6;19;2;-6.317222;NGC61;NGC 61;;;;
0;17;5.3;4.272083;-;13;29;11;-13.486389;NGC62;NGC 62;;;;
0;17;45.5;4.439583;+;11;27;0;11.450000;NGC63;NGC 63;;;;
0;17;30.3;4.376250;-;6;49;30;-6.825000;NGC64;NGC 64;;;;
0;18;58.7;4.744583;-;22;52;48;-22.880000;NGC65;NGC 65;;;;
0;19;4.9;4.770417;-;22;56;11;-22.936389;NGC66;NGC 66;;;;
0;18;14.9;4.562083;+;30;3;48;30.063333;NGC67;NGC 67;;;;
0;18;18.2;4.575833;+;30;4;21;30.072500;NGC68;NGC 68;;;;
0;18;20.4;4.585000;+;30;2;26;30.040556;NGC69;NGC 69;;;;
0;18;22.4;4.593333;+;30;4;44;30.078889;NGC70;NGC 70;;;;
0;18;23.5;4.597917;+;30;3;47;30.063056;NGC71;NGC 71;;;;
0;18;28.4;4.618333;+;30;2;26;30.040556;NGC72;NGC 72;;;;
0;18;38.9;4.662083;-;15;19;18;-15.321667;NGC73;NGC 73;;;;
0;18;49.5;4.706250;+;30;3;41;30.061389;NGC74;NGC 74;;;;
0;19;26.3;4.859583;+;6;26;59;6.449722;NGC75;NGC 75;;;;
0;19;37.7;4.907083;+;29;56;3;29.934167;NGC76;NGC 76;;;;
0;20;1.6;5.006667;-;22;31;56;-22.532222;NGC77;NGC 77;;;;
0;20;25.8;5.107500;+;0;49;35;0.826389;NGC78;NGC 78;;;;
0;21;2.8;5.261667;+;22;34;2;22.567222;NGC79;NGC 79;;;;
0;21;10.9;5.295417;+;22;21;28;22.357778;NGC80;NGC 80;;;;
0;21;13.2;5.305000;+;22;23;0;22.383333;NGC81;NGC 81;;;;
0;21;17.6;5.323333;+;22;27;40;22.461111;NGC82;NGC 82;;;;
0;21;22.6;5.344167;+;22;26;3;22.434167;NGC83;NGC 83;;;;
0;21;21.2;5.338333;+;22;37;9;22.619167;NGC84;NGC 84;;;;
0;21;25.5;5.356250;+;22;30;44;22.512222;NGC85;NGC 85;;;;
0;21;28.6;5.369167;+;22;33;23;22.556389;NGC86;NGC 86;;;;
0;21;14.2;5.309167;-;48;37;44;-48.628889;NGC87;NGC 87;;;;
0;21;22.0;5.341667;-;48;38;23;-48.639722;NGC88;NGC 88;;;;
0;21;24.3;5.351250;-;48;39;55;-48.665278;NGC89;NGC 89;;;;
0;21;51.6;5.465000;+;22;24;2;22.400556;NGC90;NGC 90;;;;
0;21;51.7;5.465417;+;22;22;8;22.368889;NGC91;NGC 91;;;;
0;21;31.4;5.380833;-;48;37;29;-48.624722;NGC92;NGC 92;;;;
0;22;3.4;5.514167;+;22;24;32;22.408889;NGC93;NGC 93;;;;
0;22;13.6;5.556667;+;22;29;0;22.483333;NGC94;NGC 94;;;;
0;22;13.6;5.556667;+;10;29;31;10.491944;NGC95;NGC 95;;;;
0;22;17.8;5.574167;+;22;32;48;22.546667;NGC96;NGC 96;;;;
0;22;30.0;5.625000;+;29;44;44;29.745556;NGC97;NGC 97;;;;
0;22;49.3;5.705417;-;45;16;6;-45.268333;NGC98;NGC 98;;;;
0;23;59.6;5.998333;+;15;46;12;15.770000;NGC99;NGC 99;;;;
0;24;2.6;6.010833;+;16;29;11;16.486389;NGC100;NGC 100;;;;
0;23;54.5;5.977083;-;32;32;11;-32.536389;NGC101;NGC 101;;;;
0;24;36.5;6.152083;-;13;57;22;-13.956111;NGC102;NGC 102;;;;
0;25;17.3;6.322083;+;61;19;19;61.321944;NGC103;NGC 103;;;;
0;24;5.2;6.021667;-;72;4;49;-72.080278;NGC104;NGC 104;;;;
0;25;16.9;6.320417;+;12;53;1;12.883611;NGC105;NGC 105;;;;
0;24;43.7;6.182083;-;5;8;56;-5.148889;NGC106;NGC 106;;;;
0;25;42.1;6.425417;-;8;17;0;-8.283333;NGC107;NGC 107;;;;
0;25;59.7;6.498750;+;29;12;43;29.211944;NGC108;NGC 108;;;;
0;26;14.6;6.560833;+;21;48;28;21.807778;NGC109;NGC 109;;;;
0;27;25.4;6.855833;+;71;23;26;71.390556;NGC110;NGC 110;;;;
1;55;42.1;28.925417;-;3;3;58;-3.066111;NGC111;NGC 111;;;;
0;26;48.8;6.703333;+;31;42;10;31.702778;NGC112;NGC 112;;;;
0;26;54.7;6.727917;-;2;30;2;-2.500556;NGC113;NGC 113;;;;
0;26;58.2;6.742500;-;1;47;9;-1.785833;NGC114;NGC 114;;;;
0;26;46.0;6.691667;-;33;40;34;-33.676111;NGC115;NGC 115;;;;
0;27;9.0;6.787500;-;7;56;18;-7.938333;NGC116;NGC 116;;;;
0;27;10.9;6.795417;+;1;20;3;1.334167;NGC117;NGC 117;;;;
0;27;16.1;6.817083;-;1;46;47;-1.779722;NGC118;NGC 118;;;;
0;26;57.6;6.740000;-;56;58;40;-56.977778;NGC119;NGC 119;;;;
0;27;30.1;6.875417;-;1;30;49;-1.513611;NGC120;NGC 120;;;;
0;26;47.1;6.696250;-;71;32;12;-71.536667;NGC121;NGC 121;;;;
0;27;38.3;6.909583;-;1;38;24;-1.640000;NGC122;NGC 122;;;;
0;27;36.2;6.900833;-;1;35;58;-1.599444;NGC123;NGC 123;;;;
0;27;52.3;6.967917;-;1;48;37;-1.810278;NGC124;NGC 124;;;;
0;28;50.3;7.209583;+;2;50;19;2.838611;NGC125;NGC 125;;;;
0;29;8.1;7.283750;+;2;48;40;2.811111;NGC126;NGC 126;;;;
0;29;12.3;7.301250;+;2;52;24;2.873333;NGC127;NGC 127;;;;
0;29;14.9;7.312083;+;2;51;54;2.865000;NGC128;NGC 128;;;;
0;29;58.0;7.491667;+;60;12;42;60.211667;NGC129;NGC 129;;;;
0;29;18.6;7.327500;+;2;52;16;2.871111;NGC130;NGC 130;;;;
0;29;38.1;7.408750;-;33;15;37;-33.260278;NGC131;NGC 131;;;;
0;30;10.6;7.544167;+;2;5;35;2.093056;NGC132;NGC 132;;;;
0;31;18.0;7.825000;+;63;21;6;63.351667;NGC133;NGC 133;;;;
0;30;21.8;7.590833;-;33;14;42;-33.245000;NGC134;NGC 134;;;;
0;31;45.9;7.941250;-;13;20;16;-13.337778;NGC135;NGC 135;;;;
0;31;30.7;7.877917;+;61;30;33;61.509167;NGC136;NGC 136;;;;
0;30;58.1;7.742083;+;10;12;31;10.208611;NGC137;NGC 137;;;;
0;30;59.2;7.746667;+;5;9;35;5.159722;NGC138;NGC 138;;;;
0;31;6.5;7.777083;+;5;4;42;5.078333;NGC139;NGC 139;;;;
0;31;20.4;7.835000;+;30;47;31;30.791944;NGC140;NGC 140;;;;
0;31;17.6;7.823333;+;5;10;46;5.179444;NGC141;NGC 141;;;;
0;31;7.9;7.782917;-;22;37;10;-22.619444;NGC142;NGC 142;;;;
0;31;15.5;7.814583;-;22;33;36;-22.560000;NGC143;NGC 143;;;;
0;31;20.7;7.836250;-;22;38;46;-22.646111;NGC144;NGC 144;;;;
0;31;45.6;7.940000;-;5;9;14;-5.153889;NGC145;NGC 145;;;;
0;33;3.0;8.262500;+;63;18;6;63.301667;NGC146;NGC 146;;;;
0;33;11.7;8.298750;+;48;30;26;48.507222;NGC147;NGC 147;;;;
0;34;15.4;8.564167;-;31;47;10;-31.786111;NGC148;NGC 148;;;;
0;33;50.2;8.459167;+;30;43;25;30.723611;NGC149;NGC 149;;;;
0;34;15.7;8.565417;-;27;48;18;-27.805000;NGC150;NGC 150;;;;
0;34;2.8;8.511667;-;9;42;18;-9.705000;NGC151;NGC 151;;;;
0;32;56.9;8.237083;-;73;6;58;-73.116111;NGC152;NGC 152;;;;
0;34;2.8;8.511667;-;9;42;18;-9.705000;NGC153;NGC 153;;;;
0;34;19.4;8.580833;-;12;39;21;-12.655833;NGC154;NGC 154;;;;
0;34;40.0;8.666667;-;10;45;58;-10.766111;NGC155;NGC 155;;;;
0;34;35.8;8.649167;-;8;20;22;-8.339444;NGC156;NGC 156;;;;
0;34;46.4;8.693333;-;8;23;46;-8.396111;NGC157;NGC 157;;;;
0;35;5.5;8.772917;-;8;20;42;-8.345000;NGC158;NGC 158;;;;
0;34;35.4;8.647500;-;55;47;23;-55.789722;NGC159;NGC 159;;;;
0;36;4.1;9.017083;+;23;57;29;23.958056;NGC160;NGC 160;;;;
0;35;33.9;8.891250;-;2;50;54;-2.848333;NGC161;NGC 161;;;;
0;36;9.2;9.038333;+;23;57;44;23.962222;NGC162;NGC 162;;;;
0;35;59.7;8.998750;-;10;7;17;-10.121389;NGC163;NGC 163;;;;
0;36;32.9;9.137083;+;2;45;0;2.750000;NGC164;NGC 164;;;;
0;36;28.9;9.120417;-;10;6;23;-10.106389;NGC165;NGC 165;;;;
0;35;48.8;8.953333;-;13;36;38;-13.610556;NGC166;NGC 166;;;;
0;35;22.9;8.845417;-;23;22;29;-23.374722;NGC167;NGC 167;;;;
0;36;38.6;9.160833;-;22;35;37;-22.593611;NGC168;NGC 168;;;;
